spec,outcome,outcome_label,exposure_measure,mode,event_time,coefficient,std_error,p_value,ci_low,ci_high,nobs,n_cno,r2_twfe,sample_note
top_quartile_vs_bottom_quartile_cosine_weighted,contracts,Contracts,Cosine weighted,top_vs_bottom,-20,-300.03530633473713,276.0484948113365,0.2778560927019511,-841.0903561649567,241.01974349548243,21408,340,0.9527783811992003,top quartile vs bottom quartile; q25=0.000000; q75=0.119664
top_quartile_vs_bottom_quartile_cosine_weighted,contracts,Contracts,Cosine weighted,top_vs_bottom,-19,-83.64864263410156,272.38700865848057,0.7589597475024568,-617.5271796047234,450.2298943365203,21408,340,0.9527783811992003,top quartile vs bottom quartile; q25=0.000000; q75=0.119664
top_quartile_vs_bottom_quartile_cosine_weighted,contracts,Contracts,Cosine weighted,top_vs_bottom,-18,-95.02699896203526,232.77889450478196,0.6833635858769241,-551.2736321914078,361.21963426733737,21408,340,0.9527783811992003,top quartile vs bottom quartile; q25=0.000000; q75=0.119664
top_quartile_vs_bottom_quartile_cosine_weighted,contracts,Contracts,Cosine weighted,top_vs_bottom,-17,-54.768061119041135,233.01283026179934,0.8143171821258711,-511.47320843216784,401.93708619408557,21408,340,0.9527783811992003,top quartile vs bottom quartile; q25=0.000000; q75=0.119664
top_quartile_vs_bottom_quartile_cosine_weighted,contracts,Contracts,Cosine weighted,top_vs_bottom,-16,-92.38844385154738,227.13376475583553,0.6844425248240534,-537.570622772985,352.79373506989026,21408,340,0.9527783811992003,top quartile vs bottom quartile; q25=0.000000; q75=0.119664
top_quartile_vs_bottom_quartile_cosine_weighted,contracts,Contracts,Cosine weighted,top_vs_bottom,-15,-142.04569055093174,356.10820533962243,0.6902301817722676,-840.0177730165917,555.9263919147281,21408,340,0.9527783811992003,top quartile vs bottom quartile; q25=0.000000; q75=0.119664
top_quartile_vs_bottom_quartile_cosine_weighted,contracts,Contracts,Cosine weighted,top_vs_bottom,-14,-414.7762201458464,357.60901655842207,0.2469222396623858,-1115.6898926003537,286.13745230866084,21408,340,0.9527783811992003,top quartile vs bottom quartile; q25=0.000000; q75=0.119664
top_quartile_vs_bottom_quartile_cosine_weighted,contracts,Contracts,Cosine weighted,top_vs_bottom,-13,-464.383845127263,174.08351917603596,0.008006461073882351,-805.5875427122935,-123.18014754223253,21408,340,0.9527783811992003,top quartile vs bottom quartile; q25=0.000000; q75=0.119664
top_quartile_vs_bottom_quartile_cosine_weighted,contracts,Contracts,Cosine weighted,top_vs_bottom,-12,-268.0488045155768,351.750012712637,0.44656390315073086,-957.4788294323453,421.3812204011917,21408,340,0.9527783811992003,top quartile vs bottom quartile; q25=0.000000; q75=0.119664
top_quartile_vs_bottom_quartile_cosine_weighted,contracts,Contracts,Cosine weighted,top_vs_bottom,-11,-137.7416431097464,355.76585445793353,0.698873767536667,-835.0427178472961,559.5594316278033,21408,340,0.9527783811992003,top quartile vs bottom quartile; q25=0.000000; q75=0.119664
top_quartile_vs_bottom_quartile_cosine_weighted,contracts,Contracts,Cosine weighted,top_vs_bottom,-10,-422.82087227467775,469.87917585814955,0.36883873218319424,-1343.7840569566508,498.1423124072953,21408,340,0.9527783811992003,top quartile vs bottom quartile; q25=0.000000; q75=0.119664
top_quartile_vs_bottom_quartile_cosine_weighted,contracts,Contracts,Cosine weighted,top_vs_bottom,-9,-208.36574692225878,299.3162313599901,0.48681868672480244,-795.0255603878395,378.2940665433219,21408,340,0.9527783811992003,top quartile vs bottom quartile; q25=0.000000; q75=0.119664
top_quartile_vs_bottom_quartile_cosine_weighted,contracts,Contracts,Cosine weighted,top_vs_bottom,-8,-250.4671413741371,290.9423452866666,0.3899112850698241,-820.7141381360036,319.7798553877294,21408,340,0.9527783811992003,top quartile vs bottom quartile; q25=0.000000; q75=0.119664
top_quartile_vs_bottom_quartile_cosine_weighted,contracts,Contracts,Cosine weighted,top_vs_bottom,-7,175.1430054883799,155.15137977268927,0.2597583112573226,-128.95369886609103,479.23970984285086,21408,340,0.9527783811992003,top quartile vs bottom quartile; q25=0.000000; q75=0.119664
top_quartile_vs_bottom_quartile_cosine_weighted,contracts,Contracts,Cosine weighted,top_vs_bottom,-6,334.5877466248289,208.37350117929137,0.10926837393118227,-73.82431568658217,742.99980893624,21408,340,0.9527783811992003,top quartile vs bottom quartile; q25=0.000000; q75=0.119664
top_quartile_vs_bottom_quartile_cosine_weighted,contracts,Contracts,Cosine weighted,top_vs_bottom,-5,195.69641002777865,138.58891036584416,0.15884838839747734,-75.93785428927589,467.3306743448332,21408,340,0.9527783811992003,top quartile vs bottom quartile; q25=0.000000; q75=0.119664
top_quartile_vs_bottom_quartile_cosine_weighted,contracts,Contracts,Cosine weighted,top_vs_bottom,-4,124.59850170553307,155.29217531737214,0.4229132889828018,-179.77416191651633,428.97116532758247,21408,340,0.9527783811992003,top quartile vs bottom quartile; q25=0.000000; q75=0.119664
top_quartile_vs_bottom_quartile_cosine_weighted,contracts,Contracts,Cosine weighted,top_vs_bottom,-3,117.2032339411324,292.0365837472783,0.6884295562868167,-455.1884702035331,689.5949380857978,21408,340,0.9527783811992003,top quartile vs bottom quartile; q25=0.000000; q75=0.119664
top_quartile_vs_bottom_quartile_cosine_weighted,contracts,Contracts,Cosine weighted,top_vs_bottom,-2,64.70249221136731,253.8934468575998,0.7990003361418762,-432.9286636295283,562.3336480522629,21408,340,0.9527783811992003,top quartile vs bottom quartile; q25=0.000000; q75=0.119664
