design,control_unit,screening_pre_distance,sc_weight,sdid_unit_weight
total_ocup4d,3629,2.0271401673378935,0.02624089567315011,0.026425305225663377
total_ocup4d,0012,3.328657703032307,0.035068426542998084,0.02174575961857935
total_ocup4d,9490,2.6146578605067354,0.046808597413058844,0.021288210362829667
total_ocup4d,1311,2.322800213915747,0.02511886246354029,0.020561624024616122
total_ocup4d,7112,2.635263804384274,0.008660069176841442,0.020048157677516415
total_ocup4d,1112,1.7129999414682713,0.018861032378842596,0.01953255264554039
total_ocup4d,2824,2.29688960801951,0.06495668104868993,0.018857936566140956
total_ocup4d,3734,0.1957390839665241,0.007570240350345442,0.01864087424193932
total_ocup4d,2158,2.1389564002394583,0.010398963226426694,0.017978039872298443
total_ocup4d,3724,2.670436734180782,0.03819511756667949,0.01792251047678917
total_ocup4d,2464,1.3491591068642244,0.009592861450931578,0.017900857842009114
total_ocup4d,9223,0.8366901215875214,0.02157429371596456,0.017203675321801296
total_ocup4d,5991,3.5277565830627564,0.0045494453010675355,0.015016154263383617
total_ocup4d,3622,1.9880329189226449,0.005082234433413634,0.0150017842262901
total_ocup4d,7295,1.2591743726591624,0.018764941862719178,0.014776376792649544
total_ocup4d,3206,2.342210645752303,0.0651277649293594,0.014533385451937138
total_ocup4d,3713,1.374280179593282,0.01006164310260479,0.014190406496634136
total_ocup4d,8411,1.8904243659910476,0.025584225592680154,0.013293781406347183
total_ocup4d,0011,2.110499428963031,0.009112124049810969,0.013157086965247113
total_ocup4d,3723,2.2668245410121672,0.01747459873862523,0.013080037614258884
total_ocup4d,2251,2.1855263254624018,0.012562979869003569,0.012838712627168168
total_ocup4d,2443,0.23834074407710226,0.004429112459166359,0.012686703694657889
total_ocup4d,3533,2.385898114909481,0.005370391746639036,0.012574771254292955
total_ocup4d,3339,1.0321995231836665,0.012308377048739801,0.012462560019114463
total_ocup4d,2473,0.7549954573254058,0.003152593640379121,0.011335495233031219
total_ocup4d,3732,1.6271374695048624,0.004797142441983906,0.010351317298251717
total_ocup4d,3155,3.8384543632560586,0.005361578952069684,0.009700574202991462
total_ocup4d,2154,0.7922914875734693,0.0023641501739457608,0.00962177901696498
total_ocup4d,3331,0.5271726531102466,0.006318534054853924,0.009537280450912268
total_ocup4d,3329,0.6718259235065495,0.003595435580855025,0.009324315648755811
total_ocup4d,3831,1.959789897015106,0.005824954778760813,0.009240549871834584
total_ocup4d,7705,2.0362578848854027,0.008481863128414745,0.008828684088650209
total_ocup4d,7623,0.10014972736509477,0.003504336439367433,0.008728569403500652
total_ocup4d,3316,0.32577128632011254,0.0038889460423711213,0.008715900650267751
total_ocup4d,2435,0.3592984667403988,0.0038683424696478483,0.008691367702121797
total_ocup4d,3722,0.7265730957169982,0.005634806498019428,0.008683369008821787
total_ocup4d,5812,2.7863640159615004,0.0050771952442628596,0.008404780139718748
total_ocup4d,7832,0.016585343719096503,0.002883712867107965,0.00813668515435282
total_ocup4d,8132,0.8080081957645895,0.004737712926578665,0.007378437077434319
total_ocup4d,5120,4.944537237286099,0.005408222736831137,0.007355631879464011
total_ocup4d,7315,0.6642441622265647,0.003483975885725615,0.007250404536256713
