cno2,quarter,mean_parados,mean_contratos,exposure_nearest,cno4_count,cno2_label,epa_occupied_persons,rate_proxy,ln_rate_proxy,quarter_order,trend,period,post,exposure_10pp,exposure_10pp_post
00,2021T1,542.8888888888889,14.444444444444445,0.0,3,00 Ocupaciones militares,103000.0,0.00524313059751944,-5.250836516772068,8085,0,2021T1,False,0.0,0.0
00,2021T2,528.2222222222222,17.666666666666668,0.0,3,00 Ocupaciones militares,107100.0,0.004907841189939854,-5.316921110044952,8086,1,2021T2,False,0.0,0.0
00,2021T3,467.44444444444446,18.22222222222222,0.0,3,00 Ocupaciones militares,102800.0,0.004526542193032762,-5.397796943755039,8087,2,2021T3,False,0.0,0.0
00,2021T4,453.8888888888889,19.11111111111111,0.0,3,00 Ocupaciones militares,104400.0,0.004328774961984137,-5.442470695707148,8088,3,2021T4,False,0.0,0.0
00,2022T1,448.0,14.88888888888889,0.0,3,00 Ocupaciones militares,105500.0,0.004228489447653566,-5.4659104542745975,8089,4,2022T1,False,0.0,0.0
00,2022T2,415.3333333333333,15.0,0.0,3,00 Ocupaciones militares,114600.0,0.0036111127212023904,-5.623739321111333,8090,5,2022T2,False,0.0,0.0
00,2022T3,412.44444444444446,15.222222222222221,0.0,3,00 Ocupaciones militares,106400.0,0.0038613894344395995,-5.556728203165711,8091,6,2022T3,False,0.0,0.0
00,2022T4,428.77777777777777,12.222222222222221,0.0,3,00 Ocupaciones militares,99200.0,0.004303754270017922,-5.448267551149867,8092,7,2022T4,True,0.0,0.0
00,2023T1,449.55555555555554,10.666666666666666,0.0,3,00 Ocupaciones militares,101400.0,0.004413917695598955,-5.422992617538256,8093,8,2023T1,True,0.0,0.0
00,2023T2,445.1111111111111,11.0,0.0,3,00 Ocupaciones militares,102000.0,0.004344874111448299,-5.4387584938839835,8094,9,2023T2,True,0.0,0.0
00,2023T3,445.55555555555554,6.444444444444445,0.0,3,00 Ocupaciones militares,104800.0,0.004233485710666061,-5.464729580187966,8095,10,2023T3,True,0.0,0.0
00,2023T4,458.77777777777777,6.666666666666667,0.0,3,00 Ocupaciones militares,96300.0,0.004741459000561533,-5.351410384612068,8096,11,2023T4,True,0.0,0.0
00,2024T1,460.77777777777777,6.333333333333333,0.0,3,00 Ocupaciones militares,102200.0,0.004488352686896542,-5.406269529424972,8097,12,2024T1,True,0.0,0.0
00,2024T2,432.77777777777777,6.0,0.0,3,00 Ocupaciones militares,101400.0,0.00424988679698198,-5.460862932404797,8098,13,2024T2,True,0.0,0.0
00,2024T3,429.1111111111111,7.555555555555555,0.0,3,00 Ocupaciones militares,96900.0,0.004408867051310445,-5.424137526993739,8099,14,2024T3,True,0.0,0.0
00,2024T4,456.6666666666667,7.666666666666667,0.0,3,00 Ocupaciones militares,96900.0,0.004690656349505256,-5.362182759725953,8100,15,2024T4,True,0.0,0.0
00,2025T1,460.3333333333333,6.777777777777778,0.0,3,00 Ocupaciones militares,91800.0,0.004989504337364198,-5.300418705341919,8101,16,2025T1,True,0.0,0.0
00,2025T2,434.1111111111111,8.777777777777779,0.0,3,00 Ocupaciones militares,97900.0,0.0044146543473667435,-5.4228257385082355,8102,17,2025T2,True,0.0,0.0
00,2025T3,424.1111111111111,5.777777777777778,0.0,3,00 Ocupaciones militares,93700.0,0.0045058710898258445,-5.402374045941937,8103,18,2025T3,True,0.0,0.0
00,2025T4,432.55555555555554,5.111111111111111,0.0,3,00 Ocupaciones militares,99400.0,0.004332810606203943,-5.441538846802565,8104,19,2025T4,True,0.0,0.0
00,2026T1,412.6666666666667,3.7777777777777777,0.0,3,00 Ocupaciones militares,101900.0,0.004033387850315047,-5.513148598531863,8105,20,2026T1,True,0.0,0.0
11,2021T1,511.75,64.83333333333333,0.053524999999999996,4,"11 Miembros del poder ejecutivo y de los cuerpos legislativos, directivos de la Administración Pública y organizaciones de interés social, directores ejecutivos",43900.0,0.011522851497632946,-4.463423128507664,8085,0,2021T1,False,0.5352499999999999,0.0
11,2021T2,478.5833333333333,70.66666666666667,0.053524999999999996,4,"11 Miembros del poder ejecutivo y de los cuerpos legislativos, directivos de la Administración Pública y organizaciones de interés social, directores ejecutivos",49400.0,0.009594966443513665,-4.64651664681742,8086,1,2021T2,False,0.5352499999999999,0.0
11,2021T3,447.1666666666667,59.083333333333336,0.053524999999999996,4,"11 Miembros del poder ejecutivo y de los cuerpos legislativos, directivos de la Administración Pública y organizaciones de interés social, directores ejecutivos",50900.0,0.008708692138157574,-4.743433655746214,8087,2,2021T3,False,0.5352499999999999,0.0
11,2021T4,401.25,58.666666666666664,0.053524999999999996,4,"11 Miembros del poder ejecutivo y de los cuerpos legislativos, directivos de la Administración Pública y organizaciones de interés social, directores ejecutivos",47900.0,0.008307238425506586,-4.790628044778743,8088,3,2021T4,False,0.5352499999999999,0.0
